variant,use_gating,lambda_sparsity,aux_beta_start,aux_beta_end,seed,pehe_dml,pehe_plugin
no_gating,0,0.0,0.8,0.3,42,1.2435927391052246,1.2644401788711548
no_gating,0,0.0,0.8,0.3,7,1.1850866079330444,1.1768022775650024
no_gating,0,0.0,0.8,0.3,1024,1.1829298734664917,1.177098035812378
gating_no_L1,1,0.0,0.8,0.3,42,1.3496257066726685,1.3706352710723877
gating_no_L1,1,0.0,0.8,0.3,7,1.1934254169464111,1.1838653087615967
gating_no_L1,1,0.0,0.8,0.3,1024,1.1672919988632202,1.1685969829559326
gating_L1,1,0.05,0.8,0.3,42,1.3495450019836426,1.370309829711914
gating_L1,1,0.05,0.8,0.3,7,1.1929651498794556,1.1834385395050049
gating_L1,1,0.05,0.8,0.3,1024,1.1674968004226685,1.168765664100647
gating_L1_no_distill,1,0.05,0.0,0.0,42,1.5033968687057495,1.370309829711914
gating_L1_no_distill,1,0.05,0.0,0.0,7,1.6163768768310547,1.1834385395050049
gating_L1_no_distill,1,0.05,0.0,0.0,1024,1.7898612022399902,1.168765664100647
