feature,M_T,M_Y,mask_weight,s_conf,s_inst,s_prog,s_noise,true_role
0,0.42705482,0.7201149,0.13742581,0.30752853,0.11952629,0.41258636,0.16035883,confounder
1,0.41465783,0.23044758,0.11778274,0.09555689,0.31910095,0.13489069,0.45045146,confounder
2,0.4338412,0.20998026,0.10843992,0.09109809,0.34274313,0.11888217,0.44727662,confounder
3,0.5620183,0.17337033,0.15309271,0.09743729,0.46458095,0.07593304,0.3620487,confounder
4,0.426433,0.3935163,0.11631839,0.16780834,0.25862467,0.22570798,0.34785905,confounder
5,0.95927536,0.9733218,0.24855885,0.93368363,0.025591744,0.039638177,0.0010864602,instrument
6,0.89482516,0.052244436,0.24311344,0.046749637,0.8480755,0.0054948004,0.099680044,instrument
7,0.9999999,0.9999997,0.22749479,0.9999996,2.980232e-07,1.19209254e-07,3.5527137e-14,instrument
8,0.85588765,0.14570796,0.23210675,0.12470965,0.731178,0.020998318,0.123114035,instrument
9,0.7834482,0.49190184,0.19028717,0.3853796,0.39806858,0.10652222,0.110029556,instrument
10,0.0044741347,0.20219745,0.03861544,0.00090465863,0.003569476,0.20129278,0.7942331,prognostic
11,0.003579467,0.17669795,0.029585259,0.0006324845,0.0029469824,0.17606547,0.82035506,prognostic
12,0.069997266,0.12285703,0.06602142,0.008599656,0.06139761,0.11425737,0.81574535,prognostic
13,0.013503009,0.07060887,0.045758538,0.00095343223,0.012549577,0.06965543,0.91684157,prognostic
14,0.018253252,0.062657155,0.04688716,0.001143697,0.017109556,0.06151346,0.9202333,prognostic
15,0.027979326,0.053363677,0.032353915,0.0014930797,0.026486246,0.0518706,0.9201501,noise
16,0.023362642,0.05148585,0.040082093,0.0012028455,0.022159796,0.050283007,0.92635435,noise
17,0.005790157,0.0777541,0.04154294,0.00045020843,0.0053399485,0.077303894,0.91690594,noise
18,0.011382989,0.24158216,0.03707988,0.0027499269,0.008633061,0.23883222,0.74978477,noise
19,0.013603321,0.11043835,0.032501075,0.0015023283,0.012100993,0.10893602,0.87746066,noise
20,0.008624245,0.028405253,0.035683926,0.00024497387,0.008379271,0.028160278,0.9632155,noise
21,0.028458651,0.10034051,0.0344681,0.0028555556,0.025603097,0.09748495,0.8740564,noise
22,0.055733874,0.003051225,0.04710409,0.00017005659,0.05556382,0.0028811686,0.941385,noise
23,0.012683709,0.01333388,0.028267054,0.00016912306,0.012514587,0.013164758,0.97415155,noise
24,0.027515573,0.09067219,0.032119144,0.0024948975,0.025020678,0.08817729,0.88430715,noise
25,0.04232398,0.048425265,0.045363646,0.00204955,0.04027443,0.046375714,0.9113003,noise
26,0.057726484,0.019142197,0.04538541,0.0011050119,0.056621473,0.018037187,0.92423636,noise
27,0.030712757,0.10192581,0.049208976,0.0031304227,0.027582334,0.098795384,0.87049186,noise
28,0.03106379,0.048253644,0.044551715,0.0014989411,0.029564848,0.046754703,0.9221815,noise
29,0.006490538,0.13545473,0.03223518,0.00087917404,0.005611364,0.13457556,0.8589339,noise
30,0.007303801,0.04799431,0.037612554,0.00035054088,0.00695326,0.04764377,0.94505244,noise
31,0.023161214,0.14996864,0.04290732,0.0034734558,0.019687759,0.14649518,0.8303436,noise
32,0.011579236,0.07327838,0.038510527,0.0008485077,0.0107307285,0.07242987,0.91599095,noise
33,0.008073981,0.08090329,0.04206392,0.0006532116,0.0074207694,0.08025008,0.91167593,noise
34,0.019321669,0.0466957,0.035318397,0.0009022389,0.01841943,0.045793463,0.93488485,noise
35,0.00060366205,0.0716895,0.01954322,4.327623e-05,0.0005603858,0.07164622,0.9277501,noise
36,0.06535252,0.21020165,0.03954567,0.013737208,0.051615316,0.19646445,0.7381831,noise
37,0.008205855,0.044076502,0.028532837,0.0003616854,0.00784417,0.043714818,0.94807935,noise
38,0.0004911643,0.0056126313,0.034256604,2.756724e-06,0.00048840756,0.0056098746,0.993899,noise
39,0.010719859,0.026147012,0.01827579,0.00028029227,0.010439566,0.02586672,0.9634135,noise
40,0.056268964,0.23125549,0.044649776,0.013012507,0.043256458,0.21824297,0.72548807,noise
41,0.095345646,0.033202086,0.055347625,0.0031656744,0.09217997,0.030036412,0.87461793,noise
42,0.0054889163,0.095182225,0.03218986,0.00052244734,0.0049664695,0.09465978,0.8998513,noise
43,0.012175273,0.055040546,0.038860038,0.0006701337,0.01150514,0.054370414,0.93345433,noise
44,0.007849246,0.015969697,0.020369591,0.00012535008,0.0077238963,0.015844347,0.97630644,noise
45,0.021242024,0.020078046,0.032872073,0.0004264984,0.020815527,0.019651549,0.95910645,noise
46,0.006613256,0.14964812,0.03989215,0.0009896613,0.0056235944,0.14865845,0.8447283,noise
47,0.023004245,0.017267909,0.032203715,0.0003972352,0.02260701,0.016870674,0.9601251,noise
48,0.023306467,0.03005125,0.028289162,0.00070038845,0.022606079,0.02935086,0.9473427,noise
49,0.048991375,0.034053136,0.051492654,0.0016683099,0.047323063,0.032384824,0.9186238,noise
50,0.028742995,0.0936164,0.031359296,0.0026908158,0.026052179,0.09092559,0.8803314,noise
51,0.0012399871,0.07216903,0.04001152,8.948866e-05,0.0011504984,0.07207954,0.92668045,noise
52,0.001829185,0.09644748,0.041799583,0.00017642029,0.0016527647,0.09627106,0.90189976,noise
53,0.026111092,0.0120865125,0.041418057,0.00031559204,0.0257955,0.011770921,0.962118,noise
54,0.020054389,0.1807012,0.037266936,0.003623852,0.016430536,0.17707734,0.80286825,noise
55,0.01710827,0.04426432,0.033045463,0.000757286,0.016350985,0.043507036,0.9393847,noise
56,0.028293828,0.0014850656,0.036745347,4.201819e-05,0.02825181,0.0014430473,0.9702631,noise
57,0.007122124,0.030367661,0.026536817,0.00021628225,0.0069058416,0.03015138,0.96272653,noise
58,0.05550816,0.005348795,0.045890406,0.00029690177,0.055211257,0.0050518936,0.93943995,noise
59,0.010687164,0.12411685,0.058264352,0.0013264571,0.009360707,0.122790396,0.86652243,noise
60,0.011881666,0.058640316,0.025977373,0.00069674465,0.0111849215,0.05794357,0.93017477,noise
