p_noise,method,seed,mean_pehe
0.0,Causal Forest,42,0.14872500438037073
0.0,CTRL plug-in,42,1.2207103967666626
0.0,CTRL-DML,42,5.0009989738464355
0.3,Causal Forest,42,0.5586742744299785
0.3,CTRL plug-in,42,1.2207051515579224
0.3,CTRL-DML,42,4.956685543060303
0.6,Causal Forest,42,0.8919604672019823
0.6,CTRL plug-in,42,1.2206865549087524
0.6,CTRL-DML,42,5.053513050079346
0.0,Causal Forest,7,0.14776124334565294
0.0,CTRL plug-in,7,1.1544771194458008
0.0,CTRL-DML,7,5.432209491729736
0.3,Causal Forest,7,0.667436534240814
0.3,CTRL plug-in,7,1.1545047760009766
0.3,CTRL-DML,7,5.482372760772705
0.6,Causal Forest,7,0.9173136689984344
0.6,CTRL plug-in,7,1.1544952392578125
0.6,CTRL-DML,7,5.473687648773193
0.0,Causal Forest,1024,0.10598142793186677
0.0,CTRL plug-in,1024,1.1007987260818481
0.0,CTRL-DML,1024,5.146158218383789
0.3,Causal Forest,1024,0.667725798791875
0.3,CTRL plug-in,1024,1.1007667779922485
0.3,CTRL-DML,1024,5.080400466918945
0.6,Causal Forest,1024,0.9063195026510216
0.6,CTRL plug-in,1024,1.1007450819015503
0.6,CTRL-DML,1024,5.126800060272217
