p_noise,method,seed,mean_pehe
0.0,Causal Forest,42,0.09532100336599005
0.0,Multimodal CTRL-DML,42,1.359453797340393
0.3,Causal Forest,42,0.7134981644614511
0.3,Multimodal CTRL-DML,42,1.3595693111419678
0.6,Causal Forest,42,0.8894772209331387
0.6,Multimodal CTRL-DML,42,1.3592101335525513
0.0,Causal Forest,7,0.0687681579642199
0.0,Multimodal CTRL-DML,7,1.1115739345550537
0.3,Causal Forest,7,0.5201600670536923
0.3,Multimodal CTRL-DML,7,1.1121922731399536
0.6,Causal Forest,7,0.7057981958356803
0.6,Multimodal CTRL-DML,7,1.1116365194320679
