n_noise,seed,pehe_plugin,pehe_dml
10,42,1.5483169555664062,2.244936227798462
10,7,1.2653157711029053,2.017106533050537
10,1024,1.200102686882019,1.8685717582702637
20,42,1.300765872001648,1.923159122467041
20,7,1.161623477935791,1.5073468685150146
20,1024,1.1735680103302002,1.610015869140625
50,42,1.370309829711914,1.87668776512146
50,7,1.1834385395050049,1.6583101749420166
50,1024,1.168765664100647,2.3827474117279053
100,42,1.387885332107544,2.013066291809082
100,7,1.1513991355895996,2.0132460594177246
100,1024,1.1773748397827148,1.2354382276535034
