n_samples,seed,pehe_cf,pehe_ctrl
500,42,2.0408691879002197,1.830163598060608
500,7,1.7362878665024388,1.606040120124817
500,1024,1.5558177666013848,1.6400761604309082
1000,42,2.0357692124466427,1.6016124486923218
1000,7,1.674692376143009,1.5173959732055664
1000,1024,1.732993530064922,1.7785569429397583
2000,42,1.9570198560912928,1.7246514558792114
2000,7,1.50046438796883,1.517127513885498
2000,1024,1.5013047341310162,1.51377272605896
5000,42,1.5536562073508042,1.6427526473999023
5000,7,1.640579326415463,1.5325167179107666
5000,1024,1.4052994480260559,1.599156379699707
