dataset,method,seed,pehe
N500,Causal Forest,42,1.751797460888125
N500,CTRL plug-in,42,1.701799750328064
N500,CTRL-DML (orthogonal),42,8.852890014648438
N500,Causal Forest,7,2.3260446371536494
N500,CTRL plug-in,7,1.5280101299285889
N500,CTRL-DML (orthogonal),7,8.68445873260498
N500,Causal Forest,1024,1.6745618847833905
N500,CTRL plug-in,1024,1.521506428718567
N500,CTRL-DML (orthogonal),1024,8.757927894592285
N1000,Causal Forest,42,1.6856960795706688
N1000,CTRL plug-in,42,1.525002121925354
N1000,CTRL-DML (orthogonal),42,8.803240776062012
N1000,Causal Forest,7,1.5768757496208907
N1000,CTRL plug-in,7,1.5620200634002686
N1000,CTRL-DML (orthogonal),7,8.813773155212402
N1000,Causal Forest,1024,1.901356024063355
N1000,CTRL plug-in,1024,1.7531020641326904
N1000,CTRL-DML (orthogonal),1024,8.879096984863281
N2000,Causal Forest,42,1.5253160503262253
N2000,CTRL plug-in,42,1.7962108850479126
N2000,CTRL-DML (orthogonal),42,8.74881362915039
N2000,Causal Forest,7,1.554747717316816
N2000,CTRL plug-in,7,1.5162662267684937
N2000,CTRL-DML (orthogonal),7,8.803193092346191
N2000,Causal Forest,1024,1.6380528160310224
N2000,CTRL plug-in,1024,1.5070000886917114
N2000,CTRL-DML (orthogonal),1024,8.78619384765625
N5000,Causal Forest,42,1.440117484274623
N5000,CTRL plug-in,42,1.60588800907135
N5000,CTRL-DML (orthogonal),42,8.40625
N5000,Causal Forest,7,1.5439060767298827
N5000,CTRL plug-in,7,1.5198596715927124
N5000,CTRL-DML (orthogonal),7,8.679162979125977
N5000,Causal Forest,1024,1.4413465041259792
N5000,CTRL plug-in,1024,1.5831177234649658
N5000,CTRL-DML (orthogonal),1024,8.604447364807129
