lambda_sparsity,dropout_p,seed,pehe_dml
0.0,0.0,42,1.8058040142059326
0.0,0.0,7,1.545370101928711
0.0,0.0,1024,1.5133990049362183
0.0,0.1,42,1.8794306516647339
0.0,0.1,7,1.5168472528457642
0.0,0.1,1024,1.5096157789230347
0.0,0.2,42,1.8793779611587524
0.0,0.2,7,1.5177280902862549
0.0,0.2,1024,1.5102121829986572
0.0,0.3,42,1.8811557292938232
0.0,0.3,7,1.5192097425460815
0.0,0.3,1024,1.5111312866210938
0.03,0.0,42,1.8063961267471313
0.03,0.0,7,1.5456382036209106
0.03,0.0,1024,1.5149377584457397
0.03,0.1,42,1.8798267841339111
0.03,0.1,7,1.5169100761413574
0.03,0.1,1024,1.5097944736480713
0.03,0.2,42,1.879669427871704
0.03,0.2,7,1.5177117586135864
0.03,0.2,1024,1.5101385116577148
0.03,0.3,42,1.8811836242675781
0.03,0.3,7,1.519248604774475
0.03,0.3,1024,1.5110501050949097
0.08,0.0,42,1.8068822622299194
0.08,0.0,7,1.5454962253570557
0.08,0.0,1024,1.516370415687561
0.08,0.1,42,1.8804490566253662
0.08,0.1,7,1.516928791999817
0.08,0.1,1024,1.509882926940918
0.08,0.2,42,1.8799179792404175
0.08,0.2,7,1.5176641941070557
0.08,0.2,1024,1.5101561546325684
0.08,0.3,42,1.8817023038864136
0.08,0.3,7,1.519078016281128
0.08,0.3,1024,1.510867714881897
0.12,0.0,42,1.807344913482666
0.12,0.0,7,1.5454967021942139
0.12,0.0,1024,1.515807032585144
0.12,0.1,42,1.8803991079330444
0.12,0.1,7,1.5169907808303833
0.12,0.1,1024,1.5099046230316162
0.12,0.2,42,1.8800699710845947
0.12,0.2,7,1.517655849456787
0.12,0.2,1024,1.5101617574691772
0.12,0.3,42,1.8818142414093018
0.12,0.3,7,1.5189177989959717
0.12,0.3,1024,1.510852575302124
