feature,smd_unweighted,smd_dragon,smd_ctrl
experience1,0.22516023634081764,0.006316158146358095,0.005000793009269264
system1,0.027366609967653756,0.0023417807994302402,0.0026860312096024467
gender_male,0.0011548670600804681,0.0007788659087555693,0.000897287925780964
ethnicity_amindian,0.008668973097072097,0.01079220697362391,0.01268516824217104
ethnicity_asian,0.007601354539918458,0.0005218528925429773,0.014664248727717238
ethnicity_cauc,0.11285548705208703,0.01826069983110781,0.005162503420109918
ethnicity_hispanic,0.02338971187103134,0.02729525232082004,0.026720423294337575
ethnicity_other,0.0003799951094213065,0.006634481918724463,0.0036186190737919686
lunch1_non-free,0.07293019622615828,0.0035906414562550336,0.0009185718803701471
school1_rural,0.024661880244616928,0.004633952894932708,0.0029250359137849707
school1_suburban,0.03448695164909875,0.005023321225913585,0.0007270798774640533
school1_urban,0.05463659800459848,0.0037363617974086466,0.0028864763011574993
degree1_master,0.0764854616195831,0.0012265691856449307,0.007531036204569096
degree1_specialist,0.13844019124374005,0.12114295294477569,0.10600700103016825
ladder1_level1,0.0709947651781533,0.002526622628762275,0.0030134092549128472
ladder1_level2,0.1255263031555339,0.10208151620394432,0.09342356506988653
ladder1_level3,0.1410020144153328,0.02839962987886222,0.00910033719563511
ladder1_notladder,0.03805151282269109,0.02908968839490783,0.011072524334637178
ladder1_probation,0.22592893935904265,0.05704097870336519,0.024840382632920283
tethnicity1_cauc,0.07680043785760741,0.02435032958108672,0.004623721447717224
